# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "1" "-p" "-B" "-s" "0" "-t" "exon" "-g" "gene_id" "-a" "unzipped.gtf" "-o" "SRR453566_featurecounts.txt" "SRR453566_final_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR453566_final_sorted.bam
YMR061W	XIII	392755	394788	+	2034	1071
YMR288W	XIII	845571	848486	+	2916	450
YMR265C	XIII	796540	797925	-	1386	326
YML116W	XIII	38196	39824	+	1629	3929
YML130C	XIII	11483	13174	-	1692	1768
YMR273C	XIII	811233	813980	-	2748	554
YMR292W	XIII;XIII	854795;854899	854816;855293	+;+	417	396
YMR137C	XIII	542978	544963	-	1986	214
YMR013W-A	XIII	298311	298391	+	81	0
YML076C	XIII	112513	115347	-	2835	509
YMR082C	XIII	431769	432125	-	357	4
tR(UCU)M2	XIII	131825	131896	-	72	2
YMR022W	XIII	318680	319177	+	498	532
YML062C	XIII	147505	148683	-	1179	564
YMR086C-A	XIII	442026	442364	-	339	55
YML035C	XIII	206428	208860	-	2433	959
YMR173W	XIII	608689	609981	+	1293	215
YMR194C-A	XIII	652912	653136	-	225	29
YMR093W	XIII	454015	455556	+	1542	954
YML036W	XIII;XIII	205642;206204	206097;206293	+;+	546	391
YMR307W	XIII	887003	888682	+	1680	12148
YML116W-A	XIII	37472	37774	+	303	18
YMR021C	XIII	317165	318418	-	1254	320
YMR135C	XIII	538689	540056	-	1368	623
YMR121C	XIII	509734	510348	-	615	409
YMR129W	XIII	527804	531817	+	4014	1861
YML066C	XIII	140424	141533	-	1110	78
YMR045C	XIII	357359	362627	-	5269	6
YMR050C	XIII	373057	378325	-	5269	22
YML045W	XIII	184461	189729	+	5269	13
YML040W	XIII	196628	197950	+	1323	0
YML045W-A	XIII	184461	185783	+	1323	0
YMR046C	XIII	361305	362627	-	1323	0
YMR051C	XIII	377003	378325	-	1323	0
YML039W	XIII	196628	201896	+	5269	15
YBR225W	II	670627	673329	+	2703	306
YBR182C-A	II	595361	595555	-	195	12
YBL055C	II	115573	116829	-	1257	659
YBR293W	II	787006	788430	+	1425	409
YBR223W-A	II	668721	668840	+	120	0
YBR115C	II	469748	473926	-	4179	7579
YBR031W	II	300166	301254	+	1089	9290
YBL108C-A	II	7605	7733	-	129	0
YBR116C	II	474199	474726	-	528	1
YBR241C	II	702589	704055	-	1467	185
YBR182C	II	593506	594864	-	1359	86
YBR134W	II	504243	504644	+	402	6
YBL037W	II	147209	150286	+	3078	600
YBR019C	II	276253	278352	-	2100	118
YBR022W	II	283738	284271	+	534	392
YBR121C-A	II	482326	482484	-	159	0
YBR119W	II;II	479338;479435	479345;480323	+;+	897	336
YBL022C	II	177874	181275	-	3402	4192
snR161	II	307185	307345	-	161	9
YBR243C	II	705447	706793	-	1347	721
YBR234C	II	685438	686592	-	1155	1452
YBR179C	II	586547	589114	-	2568	829
YBR247C	II	713004	714455	-	1452	1236
YBR124W	II	486507	486866	+	360	0
YBL086C	II	61202	62602	-	1401	377
YBL065W	II	99963	100307	+	345	0
YBR227C	II	673572	675134	-	1563	1075
YBR218C	II	658707	662249	-	3543	4175
YBR244W	II	707528	708016	+	489	237
YBR160W	II	560078	560974	+	897	623
YBL080C	II	73070	74695	-	1626	394
YBR083W	II	409169	410629	+	1461	812
YBR294W	II	789235	791814	+	2580	2951
tI(AAU)B	II	197494	197567	+	74	0
YBR091C	II	427155	427484	-	330	315
YBR284W	II	771239	773632	+	2394	110
YBR158W	II	556549	558198	+	1650	1872
YBR111W-A	II;II;II	462139;462290;462500	462209;462429;462579	+;+;+	291	376
YBL071C	II	90223	90531	-	309	80
YBR126W-B	II	490927	491070	+	144	9
YBR229C	II	676357	679221	-	2865	966
YBR042C	II	320416	321609	-	1194	747
YBR150C	II	541209	544493	-	3285	427
YBR298C	II	802631	804475	-	1845	452
YBR143C	II	530869	532182	-	1314	4533
YBR014C	II	266725	267336	-	612	664
tS(AGA)B	II	227075	227156	+	82	0
YBR259W	II	730387	732453	+	2067	359
YBR060C	II	360652	362514	-	1863	605
YBR180W	II	589741	591459	+	1719	44
YBL034C	II	153848	158389	-	4542	614
YBR212W	II	647886	649904	+	2019	806
YBR071W	II	380411	381046	+	636	736
YBL074C	II	86722	87789	-	1068	120
YBL107C	II	9961	10551	-	591	691
YBR097W	II	436951	441315	+	4365	429
YBR136W	II	505668	512774	+	7107	435
YBR039W	II	315575	316510	+	936	3128
YBL089W	II	49574	50953	+	1380	373
YBL067C	II	93639	95882	-	2244	745
YBR270C	II	742761	744398	-	1638	141
YBR087W	II	423765	424829	+	1065	610
YBR121C	II	481364	483367	-	2004	5901
YBR026C	II	292877	294019	-	1143	294
YBR197C	II	615203	615856	-	654	307
YBR027C	II	294024	294356	-	333	15
YBR177C	II	584807	586162	-	1356	1952
YBR176W	II	583720	584658	+	939	388
YBR230W-A	II	680362	680562	+	201	150
YBR090C	II;II	426333;426874	426516;427058	-;-	369	10
YBL071C-B	II	89458	89556	-	99	2
YBR064W	II	367763	368191	+	429	2
YBR044C	II	324341	326059	-	1719	710
YBL068W	II	92414	93394	+	981	535
YBR216C	II	655576	657600	-	2025	640
YBR271W	II	744852	746111	+	1260	340
YBR084W	II	411054	413981	+	2928	4387
YBR065C	II	368584	369678	-	1095	314
YBR245C	II	708150	711539	-	3390	1012
YBR085W	II	415983	416906	+	924	99
YBR059C	II	356861	360187	-	3327	1039
YBR068C	II	373861	375690	-	1830	407
YBR285W	II	773922	774356	+	435	36
YBR041W	II	318266	320275	+	2010	1287
YBR252W	II	722611	723054	+	444	705
YBL082C	II	69751	71127	-	1377	403
YBL002W	II	236492	236887	+	396	7838
YBL098W	II	39145	40527	+	1383	2273
YBR117C	II	474392	476437	-	2046	151
YBR214W	II	651415	652998	+	1584	353
YBR169C	II	573915	575996	-	2082	329
YBR207W	II	635146	636543	+	1398	1149
YBR155W	II	549771	550928	+	1158	774
YBL106C	II	10847	13879	-	3033	478
YBR237W	II	691969	694518	+	2550	647
YBR193C	II	609082	609753	-	672	198
YBR149W	II	539987	541021	+	1035	1266
YBR013C	II	265492	265881	-	390	79
YBL063W	II	101886	105221	+	3336	639
YBL029C-A	II	164488	164772	-	285	159
YBR147W	II	536575	537465	+	891	364
YBR246W	II	711591	712754	+	1164	565
YBR002C	II	241708	242568	-	861	555
YBR023C	II	284428	287925	-	3498	2215
YBL088C	II	51019	59382	-	8364	940
YBL064C	II	100371	101156	-	786	566
YBL007C	II	212632	216366	-	3735	2046
tL(UAA)B2	II	347603	347686	+	84	4
YBL093C	II	44256	44918	-	663	394
YBL091C	II	47363	48628	-	1266	1516
YBR142W	II	528317	530638	+	2322	1237
YBR047W	II	331833	332360	+	528	68
YBR238C	II	695107	697302	-	2196	331
YBR067C	II	372103	372735	-	633	199
YBR010W	II	256331	256741	+	411	7840
YBL054W	II	117589	119166	+	1578	595
YBR209W	II	642583	642900	+	318	53
YBL060W	II	107932	109995	+	2064	418
YBR089W	II	425183	425782	+	600	1
YBR025C	II	290681	291865	-	1185	6573
YBR040W	II	316968	317864	+	897	4
YBR230C	II;II	679549;680040	679942;680050	-;-	405	364
YBL027W	II;II	168423;168809	168424;169376	+;+	570	12540
YBL100C	II	36989	37303	-	315	242
YBR261C	II	734832	735530	-	699	590
YBR034C	II	304930	305976	-	1047	1505
YBR101C	II	443821	444693	-	873	1278
YBL010C	II	206107	206949	-	843	330
YBR053C	II	339675	340751	-	1077	397
YBL059C-A	II;II	110125;110506	110420;110539	-;-	330	542
YBR255C-A	II;II	726618;727012	726917;727074	-;-	363	242
YBL042C	II	138341	140260	-	1920	1045
YBL039C	II	143989	145728	-	1740	3000
YBR217W	II	657832	658392	+	561	159
YBR200W-A	II	622983	623147	+	165	3
YBL003C	II	235394	235792	-	399	5529
YBR069C	II	376574	378433	-	1860	143
YBR056W-A	II	351255	351455	+	201	7
YBR009C	II	255373	255684	-	312	7366
YBL038W	II	146187	146885	+	699	856
YBR056C-B	II	351293	351451	-	159	0
YBR081C	II	401253	405251	-	3999	1219
YBR007C	II	248806	251016	-	2211	423
YBR146W	II	535260	536096	+	837	1537
YBR171W	II	578364	578984	+	621	994
YBL028C	II	167518	167838	-	321	900
YBR135W	II	504854	505306	+	453	357
YBR264C	II	737770	738369	-	600	146
YBR043C	II	321876	323945	-	2070	729
YBL059W	II;II	110594;110949	110879;111244	+;+	582	187
YBR131W	II	497163	499277	+	2115	286
YBR233W-A	II	684977	685261	+	285	353
YBR092C	II	427698	429101	-	1404	121
YBR126C	II	488905	490392	-	1488	1750
YBR057C	II	352193	353293	-	1101	467
YBR086C	II	420201	423041	-	2841	2414
YBR174C	II	582338	582652	-	315	1
snR56	II	88190	88277	+	88	3
YBR281C	II	764970	767606	-	2637	1012
YBL103C	II	22076	23536	-	1461	512
tG(GCC)B	II	197629	197699	-	71	0
YBR159W	II	558685	559728	+	1044	2207
YBR118W	II	477671	479047	+	1377	18195
YBL004W	II	227636	235117	+	7482	2517
YBR163W	II	565723	567480	+	1758	507
YBL013W	II	202056	203261	+	1206	90
YBL112C	II	2582	2899	-	318	0
YBR231C	II	682179	683090	-	912	360
YBL066C	II	96669	100115	-	3447	566
YBR008C	II	252563	254209	-	1647	354
YBL015W	II	194122	195702	+	1581	1333
YBR038W	II	311898	314789	+	2892	1225
YBL018C	II;II	185998;186428	186352;186474	-;-	402	598
YBR253W	II	723270	723635	+	366	221
YBL068W-A	II	91794	92030	+	237	0
YBR058C	II	353672	356017	-	2346	905
YBL084C	II	67169	69445	-	2277	429
YBR224W	II	670125	670640	+	516	2
YBR077C	II	391805	392293	-	489	413
YBL087C	II;II	59822;60698	60193;60739	-;-	414	5286
YBR098W	II	441515	443590	+	2076	239
YBR239C	II	698354	699943	-	1590	215
YBR168W	II	572371	573612	+	1242	282
YBL046W	II	132424	133749	+	1326	541
YBR003W	II	242809	244230	+	1422	861
YBR215W	II;II	653356;653453	653368;655317	+;+	1878	553
LSR1	II	680688	681862	-	1175	210
YBL025W	II	171481	171918	+	438	194
YBR105C	II	450881	451969	-	1089	396
YBR200W	II	620872	622527	+	1656	727
YBR190W	II	605966	606277	+	312	1
YBR248C	II	714807	716465	-	1659	3004
YBR145W	II	533762	534817	+	1056	702
YBL047C	II	127895	132040	-	4146	2972
YBR099C	II	442924	443307	-	384	0
YBL014C	II	199064	201748	-	2685	648
YBR062C	II;II	365976;366585	366502;366600	-;-	543	468
YBL092W	II	45978	46370	+	393	18558
YBR240C	II	700490	701842	-	1353	56
YBR251W	II	721390	722313	+	924	545
YBR199W	II	618909	620303	+	1395	2014
YBR128C	II	493081	494115	-	1035	88
YBR139W	II	515664	517190	+	1527	596
YBL070C	II	90605	90925	-	321	1
YBR054W	II	343101	344135	+	1035	484
YBL039W-B	II	143393	143572	+	180	71
YBR072W	II	382030	382674	+	645	302
YBR111C	II	461178	461873	-	696	785
YBL001C	II	237153	237467	-	315	949
YBR110W	II	458872	460221	+	1350	869
YBL111C	II;II	2907;4216	4116;5009	-;-	2004	18
YBL036C	II	150447	151220	-	774	897
tR(UCU)B	II	405878	405949	+	72	0
YBL094C	II	43765	44097	-	333	2
YBR033W	II	301944	304703	+	2760	260
YBL073W	II	87646	87957	+	312	36
YBR096W	II	436021	436713	+	693	868
YBL053W	II	119335	119709	+	375	2
YBR030W	II	298292	299950	+	1659	427
YBL076C	II	81043	84261	-	3219	7564
YBR256C	II	727386	728102	-	717	1459
YBR162W-A	II	565231	565428	+	198	1196
YBL077W	II	80897	81328	+	432	5
YBR156C	II	551104	553200	-	2097	387
YBL012C	II	203406	203807	-	402	14
YBL008W-A	II	209409	209648	+	240	4
YBR297W	II	800523	801929	+	1407	512
YBR189W	II;II	604508;604928	604514;605508	+;+	588	18255
YBL096C	II	43174	43482	-	309	21
YBR011C	II	257112	257975	-	864	8107
YBL041W	II	141247	141972	+	726	1606
YBL081W	II	71866	72972	+	1107	407
YBR089C-A	II	426190	426489	-	300	245
YBR103C-A	II	449320	449463	-	144	0
YBR296C	II	796798	798522	-	1725	279
YBL040C	II;II	142112;142847	142749;142868	-;-	660	1445
YBR165W	II	568852	569685	+	834	397
YBL026W	II;II	170623;170805	170676;171038	+;+	288	689
YBR082C	II;II	406628;407123	407027;407169	-;-	447	2495
YBR280C	II	762784	764697	-	1914	266
YBR061C	II	364787	365719	-	933	520
YBL016W	II	192451	193512	+	1062	636
YBR175W	II	582408	583355	+	948	373
YBR029C	II	296369	297742	-	1374	2413
YBL057C	II	112801	113427	-	627	756
YBR298C-A	II	805035	805256	-	222	4
YBR192W	II	607652	608785	+	1134	699
tQ(UUG)B	II	350827	350898	+	72	1
YBR302C	II	810340	811479	-	1140	16
YBR254C	II	723736	724263	-	528	296
YBR204C	II	632254	633381	-	1128	388
YBR220C	II	662995	664677	-	1683	554
YBR222C	II	666720	668351	-	1632	576
YBR290W	II	782591	783556	+	966	866
YBR162C	II	563203	564570	-	1368	6404
YBR167C	II	571468	571890	-	423	159
YBL033C	II	158656	159693	-	1038	473
YBR228W	II	675313	676227	+	915	238
YBR263W	II	736264	737736	+	1473	2221
YBR250W	II	719033	720604	+	1572	40
YBR272C	II	746361	747803	-	1443	547
YBR120C	II	480435	480923	-	489	379
YBR084C-A	II;II	414186;415260	414753;415261	-;-	570	9050
YBL062W	II	105308	105688	+	381	0
YBR301W	II	809057	809419	+	363	6
YBR076W	II	390227	391291	+	1065	24
YBR210W	II	645550	645978	+	429	423
YBR106W	II	452658	453224	+	567	7395
YBR005W	II	245906	246547	+	642	321
YBR153W	II	547460	548194	+	735	288
YBR132C	II	499652	501442	-	1791	214
YBR166C	II	569842	571200	-	1359	818
YBR221W-A	II	666538	666642	+	105	2
YBR131C-A	II	497650	497739	-	90	0
YBR161W	II	561634	562764	+	1131	405
YBR109C	II	457919	458362	-	444	1722
YBR255W	II	724456	726540	+	2085	403
YBR205W	II	633622	634836	+	1215	1087
YBR296C-A	II	800123	800242	-	120	2
YBL043W	II	136688	137461	+	774	164
YBR130C	II	495592	496869	-	1278	866
YBR206W	II	634601	634924	+	324	24
YBR122C	II	483970	484503	-	534	1223
YBR295W	II	792849	796499	+	3651	484
YBR004C	II	244366	245667	-	1302	548
YBR202W	II	625772	628309	+	2538	952
YBR001C	II	238941	241283	-	2343	324
YBL113C	II	280	2658	-	2379	436
YBR288C	II	778012	779463	-	1452	592
YBR282W	II	768240	768680	+	441	526
YBL072C	II	88523	89125	-	603	9840
YBR103W	II	447709	449316	+	1608	601
YBR107C	II	453793	454530	-	738	294
YBL024W	II	172534	174588	+	2055	1726
YBR012C	II	259147	259566	-	420	124
YBR188C	II	603685	604107	-	423	176
YBL075C	II	84499	86448	-	1950	435
YBR102C	II	445062	447323	-	2262	724
YBR006W	II	247010	248503	+	1494	457
YBL051C	II	122753	124759	-	2007	1139
YBR196C	II	612236	613900	-	1665	12874
YBL031W	II	161699	162715	+	1017	182
YBR141W-A	II	527167	527262	+	96	0
YBL006W-A	II	216711	216860	+	150	0
YBL100W-C	II	28427	28546	+	120	29
YBR236C	II	690383	691693	-	1311	898
YBR276C	II	757620	760043	-	2424	1359
YBR036C	II	309081	310313	-	1233	2512
YBR045C	II	328173	330092	-	1920	168
YBR291C	II	783673	784572	-	900	2517
YBR137W	II	513044	513583	+	540	432
YBR079C	II	395383	398277	-	2895	4327
YBR017C	II	270947	273703	-	2757	1465
YBL044W	II	135998	136366	+	369	10
YBL023C	II	174920	177526	-	2607	637
YBR127C	II	491269	492822	-	1554	4449
YBR152W	II	546376	547251	+	876	206
YBR035C	II	306269	306955	-	687	1463
YBR289W	II	779667	782384	+	2718	460
YBL017C	II	186844	191583	-	4740	3100
YBR157C	II	553543	554310	-	768	265
YBL104C	II	18177	21293	-	3117	607
YBL109W	II	5790	6125	+	336	2
tL(UAA)B1	II	9583	9666	+	84	0
YBR072C-A	II	382860	383021	-	162	2
YBR300C	II	808600	809097	-	498	0
YBR195C	II	610614	611882	-	1269	330
YBR233W	II	683428	684669	+	1242	227
YBR262C	II	735720	736040	-	321	462
YBR020W	II	279021	280607	+	1587	85
YBR085C-A	II	418907	419164	-	258	1185
YBR123C	II	484742	486691	-	1950	498
YBR221C	II	665153	666253	-	1101	3934
YBL029W	II	166134	167264	+	1131	239
YBL045C	II	134143	135516	-	1374	4911
YBR191W-A	II	607149	607223	+	75	15
YBR154C	II	548362	549009	-	648	1690
YBR278W	II	760294	760899	+	606	137
YBR273C	II	748061	749371	-	1311	710
YBR032W	II	301519	301821	+	303	17
YBR048W	II;II	332831;333387	332875;333812	+;+	471	8998
YBR104W	II	449667	450656	+	990	1256
YBL079W	II	75259	79767	+	4509	2085
YBR265W	II	738582	739544	+	963	653
YBR249C	II	716882	717994	-	1113	4225
YBR203W	II	629168	631942	+	2775	232
YBR184W	II	597363	598934	+	1572	112
YBR170C	II	576344	578086	-	1743	798
YBR173C	II	581726	582172	-	447	1135
YBR133C	II	501804	504287	-	2484	937
YBR275C	II	751356	757106	-	5751	1373
YBL108W	II	8177	8482	+	306	1
YBL113W-A	II	646	1128	+	483	0
YBL085W	II	63876	66818	+	2943	1361
YBL052C	II	119379	121874	-	2496	688
YBL009W	II	207194	209224	+	2031	815
YBR283C	II	768943	770415	-	1473	4236
YBR094W	II	432036	434297	+	2262	705
YBR258C	II	729734	730162	-	429	114
YBR201W	II	623576	624211	+	636	220
YBR070C	II	379221	379934	-	714	441
tE(UUC)B	II	645167	645238	+	72	0
YBR198C	II	616127	618523	-	2397	1257
YBL056W	II	113762	115168	+	1407	2326
YBL099W	II	37053	38690	+	1638	6253
YBR257W	II	728885	729724	+	840	219
YBR126W-A	II	490850	491056	+	207	13
YBR242W	II	704670	705386	+	717	550
YBL008W	II	209653	212175	+	2523	567
YBR181C	II;II	591712;592769	592416;592774	-;-	711	12193
tC(GCA)B	II	643007	643078	-	72	0
YBR052C	II	338720	339352	-	633	792
YBR093C	II	429548	430951	-	1404	39
YBR049C	II	334386	336818	-	2433	1407
YBR056W	II	347879	349384	+	1506	592
YBL030C	II	163041	163997	-	957	10061
tT(AGU)B	II	266378	266450	+	73	0
YBR141C	II	527025	528038	-	1014	179
YBR226C	II	673155	673565	-	411	7
YBL005W	II	217470	220400	+	2931	334
YBR151W	II	545028	545978	+	951	1332
YBR144C	II	533235	533549	-	315	5
YBR178W	II	586071	586445	+	375	2
YBR138C	II	513762	515336	-	1575	224
YBL090W	II	48825	49358	+	534	817
YBL105C	II	14241	17696	-	3456	1256
YBL102W	II	24098	24745	+	648	699
YBL011W	II	203538	205817	+	2280	1285
YBR095C	II	434406	435698	-	1293	409
YBR196C-B	II	614526	614630	-	105	22
YBL048W	II	127299	127610	+	312	47
YBR066C	II	370037	370699	-	663	355
YBR292C	II	784702	785073	-	372	21
YBR018C	II	274427	275527	-	1101	24
YBR194W	II	610038	610409	+	372	121
YBR076C-A	II	391351	391617	-	267	116
YBR108W	II	454822	457665	+	2844	428
YBR046C	II	330507	331511	-	1005	183
YBR235W	II	686901	690263	+	3363	857
YBR274W	II	749594	751177	+	1584	415
YBL006C	II	216587	217129	-	543	337
YBR186W	II;II	600553;602217	602103;602360	+;+	1695	104
YBR277C	II	760215	760616	-	402	2
YBR185C	II	599123	599959	-	837	559
YBL078C	II	80378	80731	-	354	181
YBR037C	II	310565	311452	-	888	496
YBR015C	II	267710	269503	-	1794	1954
YBR016W	II	270247	270633	+	387	417
YBL107W-A	II	9268	9372	+	105	2
YBL071W-A	II	89978	90226	+	249	208
YBR269C	II	742160	742576	-	417	346
YBR266C	II	739936	740388	-	453	0
YBR055C	II	344602	347301	-	2700	697
YBR088C	II	424990	425766	-	777	127
tV(UAC)B	II	326792	326865	-	74	0
YBL019W	II	184353	185915	+	1563	268
YBR112C	II	462870	465770	-	2901	1505
YBR164C	II	567875	568426	-	552	1075
YBR148W	II	537876	539705	+	1830	93
YBL020W	II	182401	184125	+	1725	740
YBR208C	II	636703	642210	-	5508	900
tD(GUC)B	II	405960	406031	+	72	0
YBR172C	II	579150	581372	-	2223	1393
YBL097W	II	40831	43095	+	2265	484
YBR050C	II	337183	338199	-	1017	42
YBR183W	II	596115	597065	+	951	244
YBR213W	II	650368	651192	+	825	709
YBR113W	II	465566	466048	+	483	57
YBL091C-A	II;II	46565;47147	47058;47180	-;-	528	144
YBR196C-A	II	614024	614173	-	150	20
YBR286W	II	774700	776313	+	1614	4481
YBR268W	II	741299	741616	+	318	477
YBR058C-A	II	356324	356566	-	243	1195
YBR287W	II	776571	777854	+	1284	1408
YBL083C	II	69713	70138	-	426	0
YBL061C	II	105316	107406	-	2091	930
YBR267W	II	739841	741022	+	1182	425
YBR114W	II	467248	469620	+	2373	385
YBL032W	II	160184	161329	+	1146	1020
YBR219C	II;II	662499;663003	662581;663303	-;-	384	2
tF(GAA)B	II;II	36398;36453	36434;36488	+;+	73	0
YBR299W	II	805351	807105	+	1755	66
YBR191W	II;II	606270;606669	606280;607140	+;+	483	10942
YBR125C	II	487199	488380	-	1182	640
YBL069W	II	90741	92030	+	1290	198
YBR223C	II	668663	670297	-	1635	153
YBR074W	II	386286	389216	+	2931	1395
YBR201C-A	II	624493	624696	-	204	26
YBR187W	II	602634	603476	+	843	1828
YBL021C	II	181660	182094	-	435	339
YBL049W	II	126828	127244	+	417	83
YBL035C	II	151493	153610	-	2118	546
YBL095W	II	43277	44089	+	813	142
YBR073W	II	383112	385988	+	2877	1604
YBR109W-A	II	458608	458832	+	225	19
YBR260C	II	732639	734639	-	2001	550
YBR279W	II	761257	762594	+	1338	1358
YBR211C	II	646158	647132	-	975	323
YBR078W	II;II	393123;393511	393180;394742	+;+	1290	11741
YBR063C	II	366970	368184	-	1215	229
YBR028C	II	294425	296002	-	1578	736
YBL039C-A	II	144948	145031	-	84	0
YBR129C	II	494353	495339	-	987	544
YBL050W	II;II	125125;125271	125154;126119	+;+	879	965
YBR051W	II	337988	338338	+	351	2
YBR080C	II	398614	400890	-	2277	1254
YBL058W	II	111437	112708	+	1272	1866
YBL101C	II	24946	28299	-	3354	786
YBR140C	II	517350	526628	-	9279	1696
YBR021W	II	281443	283344	+	1902	763
YBR232C	II	683373	683732	-	360	12
YBR024W	II	289445	290350	+	906	202
YBL005W-B	II	221330	226598	+	5269	39
YBL100W-A	II	29935	31251	+	1317	0
YBR012W-B	II	259869	265140	+	5272	5
YBR012W-A	II	259869	261191	+	1323	0
YBL005W-A	II	221330	222652	+	1323	0
YBL100W-B	II	29935	35248	+	5314	246
YNR017W	XIV	662913	663581	+	669	1234
YNL105W	XIV	424155	424583	+	429	0
YNR069C	XIV	761123	762592	-	1470	122
YNL306W	XIV	58155	58808	+	654	1268
YNL288W	XIV	90303	91424	+	1122	877
YNL191W	XIV	280432	281505	+	1074	478
YNL150W	XIV	349251	349658	+	408	30
YNL097C	XIV	441366	442358	-	993	237
tN(GUU)N1	XIV	102716	102789	+	74	8
YNL137C	XIV	368595	370055	-	1461	1883
YNL331C	XIV	16118	17248	-	1131	200
YNL030W	XIV	576727	577038	+	312	7699
YNL297C	XIV	71673	76583	-	4911	1181
YNL102W	XIV	430087	434493	+	4407	1250
YNR026C	XIV	673274	674689	-	1416	481
YNL152W	XIV	346313	347542	+	1230	370
YNL140C	XIV	360917	361486	-	570	0
YNL099C	XIV	438567	439283	-	717	619
YNL182C	XIV	295960	297627	-	1668	862
YNL180C	XIV	299654	300649	-	996	1546
YNR001C	XIV	629622	631061	-	1440	4792
YNL091W	XIV	452408	456130	+	3723	1765
YNL157W	XIV	340352	340858	+	507	514
YNL315C	XIV	43324	44280	-	957	1063
YNL221C	XIV	231068	233695	-	2628	1535
YNR052C	XIV	719346	720647	-	1302	861
YNL061W	XIV	510540	512396	+	1857	2562
YNL284C	XIV	103134	104102	-	969	1335
YNR040W	XIV	699690	700460	+	771	356
YNL246W	XIV;XIV	185460;185587	185491;186349	+;+	795	725
YNL097W-A	XIV	441431	441586	+	156	0
YNL121C	XIV	398684	400537	-	1854	3421
snR191	XIV	721938	722211	-	274	17
YNL043C	XIV	545589	545909	-	321	51
YNR055C	XIV	728426	730186	-	1761	882
YNL039W	XIV	555048	556832	+	1785	929
YNR036C	XIV	694361	694822	-	462	1610
YNL304W	XIV	60297	61550	+	1254	195
YNL119W	XIV	401040	402521	+	1482	372
YNL034W	XIV	570477	572315	+	1839	18
YNL187W	XIV	287994	289067	+	1074	132
YNL310C	XIV	51907	52431	-	525	327
YNL277W	XIV	117349	118809	+	1461	2102
YNL126W	XIV	387227	389767	+	2541	591
tL(UAA)N	XIV	726134	726217	-	84	0
YNL210W	XIV	250931	251743	+	813	69
YNR041C	XIV	700541	701659	-	1119	378
YNL193W	XIV	274368	276044	+	1677	341
YNL301C	XIV;XIV	63570;64451	64018;64562	-;-	561	3147
YNL263C	XIV	146896	147840	-	945	967
YNL059C	XIV	512668	514935	-	2268	1196
YNL028W	XIV	578679	578996	+	318	2
YNL044W	XIV;XIV	545268;545371	545291;545877	+;+	531	824
YNL026W	XIV	581920	583374	+	1455	812
YNL067W	XIV	499681	500256	+	576	9780
YNL205C	XIV	258155	258577	-	423	1
YNL104C	XIV	424895	426754	-	1860	5474
YNL169C	XIV	316169	317671	-	1503	1243
YNL268W	XIV	138550	140385	+	1836	2601
YNL162W	XIV;XIV	331322;331838	331325;332154	+;+	321	9452
YNL257C	XIV	160631	164320	-	3690	1069
YNL229C	XIV	219137	220201	-	1065	964
YNL042W-B	XIV	547113	547370	+	258	8
YNL248C	XIV	181361	182608	-	1248	2279
YNR045W	XIV	706139	707608	+	1470	362
YNR051C	XIV	716780	718327	-	1548	2206
YNL190W	XIV	282395	283009	+	615	2553
YNL194C	XIV	272710	273615	-	906	138
YNL080C	XIV	476932	478032	-	1101	543
YNR005C	XIV	636931	637335	-	405	0
YNR064C	XIV	749136	750008	-	873	52
YNL145W	XIV	352414	352530	+	117	2349
YNR068C	XIV	760067	760885	-	819	91
YNL323W	XIV	31944	33188	+	1245	1021
YNL003C	XIV	624975	625829	-	855	483
YNL199C	XIV	264926	266530	-	1605	853
YNL048W	XIV	538173	539819	+	1647	897
YNL072W	XIV	490317	491240	+	924	258
YNL224C	XIV	224796	227099	-	2304	480
YNL067W-A	XIV	498538	498684	+	147	4
YNR032W	XIV	686010	687116	+	1107	453
YNL206C	XIV	256788	258155	-	1368	784
YNR062C	XIV	744360	745343	-	984	77
YNL203C	XIV	259439	260050	-	612	10
YNL273W	XIV	122883	126599	+	3717	613
tI(AAU)N1	XIV	569867	569940	-	74	0
YNL213C	XIV	246460	247104	-	645	415
YNL055C	XIV	517994	518845	-	852	5061
YNL170W	XIV	315978	316373	+	396	32
YNR013C	XIV	649028	651712	-	2685	1422
YNL269W	XIV	137699	138094	+	396	3
YNR020C	XIV	667410	668222	-	813	402
YNL041C	XIV	549468	551987	-	2520	746
YNL234W	XIV	210233	211513	+	1281	122
YNL165W	XIV	323832	325052	+	1221	255
YNL116W	XIV	408341	409909	+	1569	510
YNL008C	XIV	616211	618241	-	2031	837
YNL309W	XIV	52662	53924	+	1263	255
YNR015W	XIV	653387	654541	+	1155	538
YNR075W	XIV	779916	781040	+	1125	303
YNL025C	XIV	584320	585291	-	972	210
YNL058C	XIV	515763	516713	-	951	256
YNL313C	XIV	45308	48022	-	2715	1286
YNL122C	XIV	398023	398370	-	348	343
YNL094W	XIV	447611	449374	+	1764	923
YNL001W	XIV	627456	628616	+	1161	600
YNL317W	XIV	40619	42016	+	1398	275
YNL035C	XIV	568522	569691	-	1170	532
YNL007C	XIV	618507	619565	-	1059	2539
YNL162W-A	XIV	330329	330547	+	219	91
YNR039C	XIV	697614	699431	-	1818	454
YNL103W-A	XIV	426719	426808	+	90	147
tL(CAA)N	XIV;XIV	443006;443076	443043;443119	+;+	82	1
