Chromosome,GeneStart,GeneEnd,GeneLength,ConcTumor,ConcNormal,Fold,FDR,Annotation,Symbol,GeneName,Direction
chr14,77505997,77616637,110641,4.815252439,2.976123395,1.110110715,0.04371043,Distal Intergenic,SPTLC2,serine palmitoyltransferase long chain base subunit 2,Open
chr16,84977108,84990626,13519,5.145098965,3.269349209,1.116121511,0.04371043,Intron ,ZDHHC7,zDHHC palmitoyltransferase 7,Open
chr1,204403415,204411887,8473,4.781068639,3.005429053,1.10005038,0.04371043,Intron ,PPP1R15B,protein phosphatase 1 regulatory subunit 15B,Open
chr19,4007758,4017800,10043,4.295943213,2.485905752,1.10523262,0.04371043,Intron ,PIAS4,protein inhibitor of activated STAT 4,Open
chr6,38088331,38152844,64514,4.704264032,3.06739767,1.071178657,0.04371043,Promoter ,ZFAND3,zinc finger AN1-type containing 3,Open
chr16,11556557,11636381,79825,4.561134186,2.900292878,1.076263216,0.04371043,Promoter ,LITAF,lipopolysaccharide induced TNF factor,Open
chr16,15434588,15588259,153672,4.494160098,2.805685208,1.081621546,0.04371043,Intron ,BMERB1,bMERB domain containing 1,Open
chr7,98317237,98355426,38190,4.841577586,3.252316678,1.059624502,0.04371043,Promoter ,BAIAP2L1,BAR/IMD domain containing adaptor protein 2 like 1,Open
chr7,76303577,76304295,719,5.232811067,3.642206514,1.062719252,0.04371043,Distal Intergenic,HSPB1,heat shock protein family B  member 1,Open
chr8,73420074,73441526,21453,5.356565302,3.547941095,1.104658475,0.04371043,Promoter ,STAU2-AS1,STAU2 antisense RNA 1,Open
chr12,52951742,52952815,1074,4.266838716,3.014680108,0.949316281,0.04371043,Distal Intergenic,KRT18,keratin 18,Open
chr7,50592580,50732353,139774,4.678672772,2.998860851,1.078126818,0.04371043,Promoter ,GRB10,growth factor receptor bound protein 10,Open
chr16,15577134,15587357,10224,5.152253829,3.387254536,1.096505462,0.04371043,Promoter ,BMERB1,bMERB domain containing 1,Open
chr1,205008445,205021031,12587,5.143877948,3.347718038,1.102563155,0.04371043,Intron ,NFASC,neurofascin,Open
chr6,3140425,3153028,12604,5.026225978,3.300381962,1.090352273,0.04371043,Promoter ,BPHL,biphenyl hydrolase like,Open
chr7,100023408,100041688,18281,4.786752252,3.174532802,1.065103372,0.04371043,Promoter ,ZKSCAN1,zinc finger with KRAB and SCAN domains 1,Open
chr11,118883892,118897787,13896,4.437016709,2.969694595,1.028830856,0.04371043,Distal Intergenic,CXCR5,C-X-C motif chemokine receptor 5,Open
chr16,10627501,10671778,44278,4.881677751,3.274022108,1.06373643,0.04371043,Intron ,TEKT5,tektin 5,Open
chr1,232805416,232809929,4514,4.227922965,2.445222606,1.100544961,0.04371043,Exon ,MAP10,microtubule associated protein 10,Open
chr1,221702427,221711816,9390,4.964754979,2.878367653,1.132829982,0.04377661,Intron ,DUSP10,dual specificity phosphatase 10,Open
chr2,217284057,217624581,340525,5.261735269,3.317381702,1.120818098,0.04377661,Intron ,DIRC3,disrupted in renal carcinoma 3,Open
chr18,3025434,3025566,133,4.667161837,3.003590549,1.076009125,0.04377661,Distal Intergenic,LOC124900407,small nucleolar RNA SNORA70,Open
chr11,75274200,75306709,32510,4.587935061,3.083041618,1.03794458,0.04377661,Promoter ,ARRB1,arrestin beta 1,Open
chr16,10627501,10671778,44278,4.934097011,3.340020755,1.058706189,0.04377661,Intron ,TEKT5,tektin 5,Open
chr10,14518559,14572189,53631,4.999612943,3.271967941,1.088659537,0.04377661,Promoter ,FAM107B,family with sequence similarity 107 member B,Open
chr1,234813257,234932674,119418,4.896718528,3.371934842,1.041985636,0.04377661,Exon ,LOC107985365,uncharacterized LOC107985365,Open
chr21,33799923,33817736,17814,5.309642199,3.375284271,1.118035382,0.04377661,Promoter ,ITSN1,intersectin 1,Open
chr6,142770506,142837047,66542,4.062148763,2.61840682,1.021217201,0.04377661,Intron ,HIVEP2,HIVEP zinc finger 2,Open
chr2,200767150,200797572,30423,4.338403289,2.471320485,1.108794243,0.04377661,Intron ,BZW1-AS1,BZW1 antisense RNA 1,Open
chr2,39437475,39601410,163936,4.432974421,2.895066764,1.042501841,0.04377661,Intron ,MAP4K3-DT,MAP4K3 divergent transcript,Open
chr8,100415940,100461958,46019,5.139605198,3.411835589,1.087659803,0.04377661,Promoter ,LOC105375670,uncharacterized LOC105375670,Open
chr1,228174550,228175575,1026,4.508902602,2.99666015,1.036727503,0.04377661,Promoter ,IBA57,iron-sulfur cluster assembly factor IBA57,Open
chr1,2541473,2551640,10168,4.858198334,3.245811351,1.066974367,0.04377661,Exon ,TNFRSF14-AS1,TNFRSF14 antisense RNA 1,Open
chr1,206052845,206062257,9413,5.175921873,3.310778629,1.110494495,0.04377661,Promoter ,RHEX,regulator of hemoglobinization and erythroid cell expansion,Open
chr15,70503907,70504878,972,4.163309501,2.877448821,0.958035698,0.04377661,Distal Intergenic,LINC02205,long intergenic non-protein coding RNA 2205,Open
chr6,149863494,149919514,56021,4.345957141,2.45973096,1.109743973,0.04377661,Intron ,RAET1E-AS1,RAET1E antisense RNA 1,Open
chr3,150348254,150352527,4274,4.452700756,2.889095124,1.049634635,0.04377661,Promoter ,LOC107986141,uncharacterized LOC107986141,Open
chr2,240575502,240578724,3223,4.684830495,3.089511712,1.061265963,0.043798066,3' UTR,RNPEPL1,arginyl aminopeptidase like 1,Open
chr6,18521177,18536265,15089,5.214847293,3.48048264,1.08702296,0.043798066,Distal Intergenic,MIR548A1HG,MIR548A1 host gene,Open
chr1,204273626,204378214,104589,4.802143759,3.06219663,1.089016685,0.043798066,Promoter ,PLEKHA6,pleckstrin homology domain containing A6,Open
chr6,53795090,53884145,89056,4.717810665,3.285217662,1.010464473,0.043899162,Intron ,LRRC1,leucine rich repeat containing 1,Open
chr1,151994531,152042774,48244,4.966563766,2.942844906,1.123172328,0.044171257,Intron ,NBPF18P,NBPF member 18 pseudogene,Open
chr16,1680337,1698819,18483,4.768709743,3.16157968,1.062687391,0.044171257,Promoter ,JPT2,Jupiter microtubule associated homolog 2,Open
chr11,66083973,66211228,127256,4.746546539,3.291335746,1.023335454,0.044171257,Promoter ,PACS1,phosphofurin acidic cluster sorting protein 1,Open
chr17,72823607,72992949,169343,4.684774915,2.921030672,1.089419522,0.044171257,Intron ,SLC39A11,solute carrier family 39 member 11,Open
chr7,47774614,47948466,173853,4.476345521,2.887704726,1.054829944,0.044171257,Distal Intergenic,PKD1L1,polycystin 1 like 1 transient receptor potential channel interacting,Open
chr6,12182106,12311250,129145,5.120451658,3.477890412,1.068260333,0.044639598,Intron ,LOC124901260,uncharacterized LOC124901260,Open
chr15,90001324,90082191,80868,4.619977071,3.017319408,1.057061373,0.044639598,Promoter ,ZNF710,zinc finger protein 710,Open
chr8,117672847,117713402,40556,4.348722364,2.993686723,0.985283449,0.044714771,Distal Intergenic,LOC105375721,uncharacterized LOC105375721,Open
chr17,79919283,79926032,6750,5.175049372,3.3611938,1.098829813,0.044765818,Distal Intergenic,LINC01978,long intergenic non-protein coding RNA 1978,Open
chr14,69658510,69703798,45289,4.967465656,3.423021696,1.045608877,0.044973256,Intron ,SUSD6,sushi domain containing 6,Open
chr15,90006755,90006841,87,5.062187289,3.426047631,1.06560041,0.044973256,Intron ,MIR3174,microRNA 3174,Open
chr6,160739168,160753315,14148,4.531345043,2.604052359,1.10977584,0.044973256,Distal Intergenic,PLG,plasminogen,Open
chr1,218485416,218525978,40563,4.563575236,2.726896414,1.100201081,0.044973256,Intron ,LINC02869,long intergenic non-protein coding RNA 2869,Open
chr12,91877391,91880655,3265,4.165011298,2.762579339,0.99697506,0.044973256,Intron ,LINC02404,long intergenic non-protein coding RNA 2404,Open
chr14,88005135,88014811,9677,4.498720863,2.963712223,1.045255837,0.044973256,Promoter ,GPR65,G protein-coupled receptor 65,Open
chr15,70427285,70428588,1304,4.444857113,2.793779117,1.064448602,0.044973256,Intron ,LOC124903519,uncharacterized LOC124903519,Open
chr6,138215986,138218491,2506,4.854790734,3.154235381,1.07587986,0.044973256,Intron ,PBOV1,prostate and breast cancer overexpressed 1,Open
chr5,58974921,59586393,611473,4.682529186,2.934747103,1.085040256,0.044973256,Intron ,PDE4D,phosphodiesterase 4D,Open
chr17,78502143,78510671,8529,4.662175914,2.286374957,1.129227625,0.044973256,Intron ,DNAH17,dynein axonemal heavy chain 17,Open
chr9,71750001,71768513,18513,5.238273301,3.510632098,1.08423103,0.044973256,Intron ,CEMIP2,cell migration inducing hyaluronidase 2,Open
chr17,76006845,76027306,20462,5.366462167,3.492597078,1.104320154,0.044973256,Promoter ,EVPL,envoplakin,Open
chr2,45962802,45965373,2572,4.884698136,3.123289153,1.086802867,0.044973256,Exon ,LOC124907761,uncharacterized LOC124907761,Open
chr2,69103682,69103755,74,5.375101788,3.502905701,1.103026734,0.044973256,Intron ,MIR3126,microRNA 3126,Open
chr1,168846196,168907988,61793,4.607225938,2.922141205,1.070533776,0.044973256,Intron ,LINC00970,long intergenic non-protein coding RNA 970,Open
chr20,34558775,34560345,1571,4.712761253,3.210525892,1.028984996,0.044973256,Intron ,MAP1LC3A,microtubule associated protein 1 light chain 3 alpha,Open
chr15,80779343,80951776,172434,5.129698767,3.296283265,1.097307006,0.044973256,Intron ,CEMIP,cell migration inducing hyaluronidase 1,Open
chr11,73978281,73980938,2658,5.093975929,3.443906079,1.070167479,0.044973256,Promoter ,UCP2,uncoupling protein 2,Open
chr9,110199561,110208159,8599,4.61374271,3.055181815,1.042633893,0.045150223,Distal Intergenic,C9orf152,chromosome 9 open reading frame 152,Open
chr6,111982827,111992279,9453,4.282924078,2.825334031,1.01233703,0.045150223,Exon ,LOC105377947,uncharacterized LOC105377947,Open
chr8,102627761,102666410,38650,4.471439913,2.606898384,1.099681266,0.045150223,Distal Intergenic,LOC101927245,uncharacterized LOC101927245,Open
chr8,125102358,125182430,80073,4.299068007,2.707627821,1.050801152,0.045151859,Intron ,NSMCE2,NSE2 SUMO ligase component of SMC5/6 complex,Open
chr16,89112201,89146044,33844,4.901639133,3.256313657,1.065444554,0.045274567,Intron ,ACSF3,acyl-CoA synthetase family member 3,Open
chr9,114334156,114387982,53827,6.04072769,4.160410848,1.103551237,0.045274567,Promoter ,AKNA,AT-hook transcription factor,Open
chr20,53582925,53609907,26983,4.379648731,2.624937737,1.086884734,0.045274567,Intron ,ZNF217,zinc finger protein 217,Open
chr8,115414429,115492221,77793,4.821578452,3.222455479,1.057011552,0.045274567,Intron ,TRPS1,transcriptional repressor GATA binding 1,Open
chr3,94987890,94991330,3441,4.643333547,3.032592803,1.052650122,0.045274567,Intron ,LINC00879,long intergenic non-protein coding RNA 879,Open
chr6,34590509,34671956,81448,4.7184656,3.098583815,1.058848195,0.045274567,Intron ,ILRUN,inflammation and lipid regulator with UBA-like and NBR1-like domains,Open
chr17,59841266,59841337,72,5.932693322,3.915503391,1.115462084,0.045274567,Distal Intergenic,MIR21,microRNA 21,Open
chr3,99964314,99964398,85,4.422981593,2.961496917,1.013467253,0.045274567,Intron ,MIR3921,microRNA 3921,Open
chr17,75093356,75100371,7016,5.747375086,3.605216241,1.121753587,0.045274567,Promoter ,SLC16A5,solute carrier family 16 member 5,Open
chr1,236518000,236539063,21064,4.64167978,2.499918327,1.120724964,0.045274567,Promoter ,LGALS8,galectin 8,Open
chr15,47603869,47606437,2569,4.501677638,3.053230186,1.011303132,0.045274567,Intron ,LOC105370804,uncharacterized LOC105370804,Open
chr1,155127876,155134857,6982,4.762038448,3.055340469,1.076169504,0.045274567,Distal Intergenic,EFNA1,ephrin A1,Open
chr10,113490251,113492091,1841,4.526413818,2.932138681,1.045109287,0.045274567,Exon ,LOC107984270,uncharacterized LOC107984270,Open
chr15,76434133,76498597,64465,4.400546465,2.819828472,1.044618553,0.045274567,Intron ,SCAPER,S-phase cyclin A associated protein in the ER,Open
chr1,221090357,221106200,15844,4.505405032,3.004123187,1.023370462,0.045274567,Intron ,LOC101929750,uncharacterized LOC101929750,Open
chr14,61543362,61550972,7611,5.264241362,3.338843427,1.105138,0.045274567,Exon ,PRKCH,protein kinase C eta,Open
chr8,128027509,128101099,73591,5.06505044,3.303530597,1.08221078,0.045274567,Promoter ,PVT1,Pvt1 oncogene,Open
chr17,72040732,72173583,132852,5.387845048,3.384123024,1.112539852,0.045274567,Intron ,SOX9-AS1,SOX9 antisense RNA 1,Open
chr9,131587736,131621838,34103,4.683114272,3.044277051,1.059851978,0.045274567,Exon ,RAPGEF1,Rap guanine nucleotide exchange factor 1,Open
chr8,134756512,134765233,8722,5.01416439,3.249565639,1.082750549,0.045274567,Promoter ,LOC124902071,uncharacterized LOC124902071,Open
chr9,131576775,131709842,133068,5.135204932,3.2435562,1.101214245,0.045274567,Intron ,RAPGEF1,Rap guanine nucleotide exchange factor 1,Open
chr17,39740132,39742894,2763,6.759488415,4.417723915,1.121988664,0.045274567,Promoter ,GRB7,growth factor receptor bound protein 7,Open
chr1,234813262,234913302,100041,4.951639768,3.299087914,1.06389987,0.045274567,Intron ,LOC107985365,uncharacterized LOC107985365,Open
chr6,38142997,38152995,9999,4.797616513,2.800476652,1.110556025,0.045274567,Intron ,ZFAND3,zinc finger AN1-type containing 3,Open
chr19,4910375,4960952,50578,5.094773741,3.311997888,1.085816084,0.045274567,Intron ,UHRF1,ubiquitin like with PHD and ring finger domains 1,Open
chr17,35021506,35088835,67330,4.358883988,2.970606534,0.996642024,0.045274567,Promoter ,RFFL,ring finger and FYVE like domain containing E3 ubiquitin protein ligase,Open
chr1,41478775,41484683,5909,5.169104013,3.373096862,1.086997234,0.045287305,Intron ,EDN2,endothelin 2,Open
chr17,3953281,3964236,10956,4.704683179,3.316671104,0.995496993,0.045287305,Intron ,ATP2A3,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3,Open
chr6,16432564,16750092,317529,4.447326139,2.993391204,1.013723732,0.045287305,Intron ,ATXN1,ataxin 1,Open
chr15,69468317,69571440,103124,4.669175108,2.965580375,1.070044905,0.045287305,Intron ,DRAIC,downregulated RNA in cancer inhibitor of cell invasion and migration,Open
chr7,101170496,101180293,9798,4.527918756,3.167814824,0.98035006,0.045287305,Promoter ,NAT16,N-acetyltransferase 16 ,Open
chr17,73926177,74040859,114683,4.809081109,3.182535505,1.055734168,0.045287305,Promoter ,LOC105371888,uncharacterized LOC105371888,Open
chr1,230747415,230802003,54589,5.366193081,3.568829258,1.087572534,0.045287305,Intron ,CAPN9,calpain 9,Open
chr8,122667539,122671390,3852,4.545132808,2.898794427,1.057594565,0.045287305,Intron ,LINC01151,long intergenic non-protein coding RNA 1151,Open
chr1,214357751,214551223,193473,4.215434523,2.830661712,0.988942774,0.045287305,Intron ,PTPN14,protein tyrosine phosphatase non-receptor type 14,Open
chr2,237485428,237511050,25623,5.435118869,3.519299202,1.101582068,0.045287305,Promoter ,MLPH,melanophilin,Open
chr1,205439204,205457091,17888,5.571566469,3.752662203,1.090149143,0.045287305,Distal Intergenic,BLACAT1,BLACAT1 overlapping LEMD1 locus,Open
chr12,6171891,6172770,880,4.955406479,3.386790713,1.043335852,0.045297861,Intron ,LOC105369622,uncharacterized LOC105369622,Open
chr1,206584475,206589283,4809,4.402669801,3.072818807,0.97329299,0.045365782,Intron ,RASSF5,Ras association domain family member 5,Open
chr7,128455840,128493859,38020,5.365181496,3.464521667,1.098958366,0.045368534,Intron ,METTL2B,methyltransferase 2B tRNA N3-cytidine,Open
chr6,35776594,35779552,2959,4.585917632,2.92447994,1.06279687,0.045415682,Distal Intergenic,CLPSL2,colipase like 2,Open
chr1,211326833,211374946,48114,5.060322201,3.225896642,1.09025696,0.045457087,Intron ,TRAF5,TNF receptor associated factor 5,Open
chr15,92819540,92898743,79204,4.476183144,2.984950175,1.019554648,0.045561007,Intron ,CHASERR,CHD2 adjacent suppressive regulatory RNA,Open
chr12,120080681,120090027,9347,4.481652996,2.972998256,1.022157399,0.045561007,Promoter ,BICDL1,BICD family like cargo adaptor 1,Open
chr1,164605193,164847071,241879,5.227151536,2.937049266,1.117357066,0.045561007,Intron ,PBX1,PBX homeobox 1,Open
chr22,29883269,29991669,108401,4.308082075,2.797826777,1.023225417,0.045561007,Intron ,MTMR3,myotubularin related protein 3,Open
chr1,212006665,212011627,4963,4.47676038,2.85109379,1.051541396,0.045561007,Promoter ,INTS7,integrator complex subunit 7,Open
chr14,73610945,73619721,8777,3.742044872,2.337894928,0.986717636,0.045561007,Intron ,ACOT6,acyl-CoA thioesterase 6,Open
chr1,222086146,222097479,11334,4.4695906,3.159735399,0.958823437,0.045561007,Promoter ,LOC124904518,uncharacterized LOC124904518,Open
chr16,10866260,10901564,35305,4.583337357,3.221782122,0.982858765,0.045561007,Intron ,CIITA,class II major histocompatibility complex transactivator,Open
chr1,230323542,230336295,12754,4.893588481,3.264154852,1.05446447,0.045561007,Exon ,PGBD5,piggyBac transposable element derived 5,Open
chr2,76514657,76587697,73041,4.864887932,3.157559399,1.068689592,0.045561007,Intron ,LOC105374814,uncharacterized LOC105374814,Open
chr12,50222167,50224481,2315,4.316419502,2.80218874,1.024562912,0.045712961,Promoter ,LIMA1,LIM domain and actin binding 1,Open
chr19,45100064,45141386,41323,4.397635024,3.005215619,0.992959524,0.045712961,Intron ,PPP1R37,protein phosphatase 1 regulatory subunit 37,Open
chr11,67665548,67674741,9194,5.461793903,3.666416594,1.084975961,0.045712961,Promoter ,ALDH3B2,aldehyde dehydrogenase 3 family member B2,Open
chr1,220485104,220487523,2420,4.76294066,3.042016419,1.069253018,0.045761304,Distal Intergenic,LINC02779,long intergenic non-protein coding RNA 2779,Open
chr7,39570254,39572572,2319,4.434657493,2.959220523,1.015354476,0.045761304,Intron ,YAE1,YAE1 maturation factor of ABCE1,Open
chr20,48624252,48657127,32876,5.419023172,3.429276515,1.103922877,0.045772185,Intron ,PREX1,phosphatidylinositol-345-trisphosphate dependent Rac exchange factor 1,Open
chr2,39514146,39599539,85394,4.519935919,3.155379857,0.983051005,0.045772185,Intron ,MAP4K3-DT,MAP4K3 divergent transcript,Open
chr12,112125538,112141491,15954,4.216329786,2.663369778,1.032113027,0.045772185,Distal Intergenic,TRAFD1,TRAF-type zinc finger domain containing 1,Open
chr19,14514836,14550343,35508,4.684832623,3.243089304,1.005255408,0.045772185,Promoter ,DNAJB1,DnaJ heat shock protein family  member B1,Open
chr2,37646546,37647658,1113,4.741214435,3.220311488,1.029417105,0.045772185,Intron ,CDC42EP3,CDC42 effector protein 3,Open
chr6,31268749,31269666,918,4.452683224,2.845118253,1.048038424,0.045772185,Distal Intergenic,HLA-C,major histocompatibility complex class I C,Open
chr8,127840830,127996664,155835,5.433379875,3.48836064,1.098695696,0.04578617,Intron ,PVT1,Pvt1 oncogene,Open
chr1,40393345,40423324,29980,5.151732286,3.373339488,1.081357868,0.045802569,Intron ,SMAP2,small ArfGAP2,Open
chr7,107210455,107253247,42793,4.152504917,2.70943648,0.999383976,0.045875963,Intron ,COG5,component of oligomeric golgi complex 5,Open
chr3,185533676,185552510,18835,4.737476239,3.145319785,1.04498428,0.045910258,Intron ,LIPH,lipase H,Open
chr15,89116504,89183373,66870,5.391365788,3.428847698,1.099954327,0.045961426,Intron ,ABHD2,abhydrolase domain containing 2 acylglycerol lipase,Open
chr17,61393453,61394141,689,4.961217158,3.434007043,1.030185603,0.045961426,Exon ,TBX2-AS1,TBX2 antisense RNA 1,Open
chr1,182118962,182244575,125614,4.778852503,3.186108358,1.041028769,0.045980331,Promoter ,LINC01344,long intergenic non-protein coding RNA 1344,Open
chr2,8725560,8802971,77412,4.578328709,3.064519616,1.023191709,0.045980331,Promoter ,KIDINS220,kinase D interacting substrate 220,Open
chr8,29720864,29735275,14412,5.054006824,3.529529714,1.029081966,0.045980331,Promoter ,LINC00589,long intergenic non-protein coding RNA 589,Open
chr20,51596514,51768328,171815,4.579332525,2.719086687,1.08764456,0.045980331,Intron ,ATP9A,ATPase phospholipid transporting 9A ,Open
chr6,16614975,16753308,138334,4.552442595,3.092573137,1.008813791,0.045980331,Promoter ,ATXN1,ataxin 1,Open
chr4,106358183,106367435,9253,4.477095443,3.074412889,0.984956251,0.045980331,Promoter ,GIMD1,GIMAP family P-loop NTPase domain containing 1,Open
chr3,197439369,197506128,66760,5.116709032,3.416866026,1.063267088,0.045980331,Intron ,LOC105374308,uncharacterized LOC105374308,Open
chr10,22537015,22714108,177094,4.900870827,3.239778051,1.056496949,0.045980331,Intron ,PIP4K2A,phosphatidylinositol-5-phosphate 4-kinase type 2 alpha,Open
chr16,30185932,30189075,3144,4.884529655,3.419905779,1.015334864,0.045980331,Promoter ,CORO1A,coronin 1A,Open
chr16,19417883,19499113,81231,4.773769777,3.144932027,1.050217119,0.045980331,Intron ,TMC5,transmembrane channel like 5,Open
chr6,27890315,27890826,512,4.936490409,3.278473167,1.05635021,0.045980331,Promoter ,H3C12,H3 clustered histone 12,Open
chr6,51464690,51464765,76,4.09047654,2.603407359,1.010976709,0.045980331,Distal Intergenic,LOC124900230,small nucleolar RNA SNORD66,Open
chr11,63590339,63616883,26545,5.239867689,3.343329355,1.091115261,0.045980331,Intron ,PLAAT3,phospholipase A and acyltransferase 3,Open
chr16,15502266,15588074,85809,4.859146585,3.179351509,1.059770526,0.045980331,Intron ,BMERB1,bMERB domain containing 1,Open
chr12,92597711,92604165,6455,5.583783756,3.777985664,1.081722328,0.045980331,Distal Intergenic,LOC124902983,uncharacterized LOC124902983,Open
chr19,38836398,38842328,5931,4.385370422,2.989256585,0.997139481,0.045980331,Promoter ,HNRNPL,heterogeneous nuclear ribonucleoprotein L,Open
chr8,129855583,129970990,115408,5.012261875,3.179689131,1.081686533,0.045980331,Intron ,CYRIB,CYFIP related Rac1 interactor B,Open
chr21,15729982,15880064,150083,4.397658404,2.989007971,0.989245665,0.045980331,Distal Intergenic,USP25,ubiquitin specific peptidase 25,Open
chr11,46719196,46720192,997,4.685159481,3.1998083,1.01663103,0.045980331,Promoter ,F2,coagulation factor II thrombin,Open
chr16,89929093,89936092,7000,4.831251953,3.337799152,1.018518984,0.045980331,Promoter ,TUBB3,tubulin beta 3 class III,Open
chr2,1633185,1637064,3880,4.362334784,2.806828609,1.025947477,0.045980331,3' UTR,PXDN,peroxidasin,Open
chr17,61590421,61591219,799,4.476845548,2.89621547,1.040791414,0.045980331,Distal Intergenic,NACA2,nascent polypeptide associated complex subunit alpha 2,Open
chr7,33014113,33040900,26788,4.853598344,3.25649849,1.044156217,0.045980331,Promoter ,NT5C3A,5'-nucleotidase cytosolic IIIA,Open
chr6,99920752,99994247,73496,3.917818007,2.481444991,0.997829472,0.045980331,Intron ,MCHR2,melanin concentrating hormone receptor 2,Open
chr12,540463,548301,7839,4.242235964,2.703261637,1.026693836,0.045980331,Intron ,B4GALNT3,beta-14-N-acetyl-galactosaminyltransferase 3,Open
chr7,75953989,75986540,32552,4.858888812,3.140126755,1.06216462,0.045980331,Promoter ,POR,cytochrome p450 oxidoreductase,Open
chr8,95069147,95073193,4047,4.902600042,3.348525298,1.030922841,0.045980331,Intron ,MIR3150BHG,MIR3150B host gene,Open
chr2,109564215,109567853,3639,4.878727281,3.262863669,1.043791498,0.045980331,Intron ,SEPTIN10,septin 10,Open
chr1,163266576,163336786,70211,4.085831712,2.755682803,0.967324361,0.045980331,Intron ,NUF2,NUF2 component of NDC80 kinetochore complex,Open
chr1,224419562,224437033,17472,5.146191323,3.469640923,1.056988094,0.045980331,Intron ,WDR26,WD repeat domain 26,Open
chr1,223712539,223776018,63480,5.61059782,3.703916512,1.089603109,0.045980331,Intron ,CAPN2,calpain 2,Open
chr1,156001953,156032907,30955,4.427936213,2.902588292,1.025346642,0.045980331,Promoter ,LOC105371729,uncharacterized LOC105371729,Open
chr2,158632474,158640759,8286,3.930258491,2.57506028,0.9689088,0.045980331,Intron ,PKP4,plakophilin 4,Open
chr8,97691131,97724617,33487,4.538344854,3.016773653,1.020056542,0.045980331,Intron ,MTDH,metadherin,Open
chr1,225871574,225877494,5921,5.618680909,3.816996317,1.077767663,0.045980331,Promoter ,TMEM63A,transmembrane protein 63A,Open
chr3,53666363,53722458,56096,4.176430299,2.668600142,1.015907752,0.045980331,Intron ,CACNA1D,calcium voltage-gated channel subunit alpha1 D,Open
chr1,200439757,200483604,43848,4.505988659,3.06278073,0.997243818,0.045980331,Promoter ,LOC124900414,uncharacterized LOC124900414,Open
chr3,113533177,113567916,34740,4.986818141,3.262724706,1.064581498,0.045980331,Intron ,SIDT1,SID1 transmembrane family member 1,Open
chr10,114435954,114685003,249050,4.511198992,3.096579821,0.991612333,0.045980331,Intron ,ABLIM1,actin binding LIM protein 1,Open
chr4,1639887,1684313,44427,4.135119296,2.791984405,0.968995214,0.045980331,3' UTR,FAM53A,family with sequence similarity 53 member A,Open
chr1,224565365,224588555,23191,5.07344996,3.446052596,1.045704179,0.04601676,Promoter ,CNIH3,cornichon family AMPA receptor auxiliary protein 3,Open
chr11,47179254,47186443,7190,4.480887441,2.995201389,1.012620196,0.04601676,Distal Intergenic,PACSIN3,protein kinase C and casein kinase substrate in neurons 3,Open
chr5,140718925,140719013,89,5.065255393,3.421955398,1.047870586,0.04601676,Promoter ,VTRNA1-2,vault RNA 1-2,Open
chr22,35607272,35622561,15290,5.599057594,3.760228407,1.080771382,0.04601676,Promoter ,MB,myoglobin,Open
chr14,68773316,68775592,2277,5.101038649,3.311368266,1.073509679,0.04601676,Promoter ,LOC107984709,uncharacterized LOC107984709,Open
chr1,232312609,232319455,6847,4.839894387,3.290968185,1.02887167,0.04601676,Distal Intergenic,LOC101929902,uncharacterized LOC101929902,Open
chr2,205822366,205837805,15440,4.840200221,3.247737129,1.038339881,0.04601676,Distal Intergenic,LOC105373847,uncharacterized LOC105373847,Open
chr1,19408684,19411571,2888,4.329326559,2.784269117,1.023739231,0.04601676,Intron ,LOC124903868,uncharacterized LOC124903868,Open
chr1,234978814,234980804,1991,4.841305107,3.264287085,1.03604819,0.04601676,Distal Intergenic,LINC03108,long intergenic non-protein coding RNA 3108,Open
chr6,3323342,3324165,824,4.505979759,2.976055044,1.018097306,0.04601676,Intron ,SLC22A23,solute carrier family 22 member 23,Open
chr6,149852414,149853194,781,4.127130195,2.73724007,0.983024122,0.04601676,Promoter ,LRP11-AS1,LRP11 antisense RNA 1,Open
chr2,64757392,64839046,81655,4.66835222,3.238829603,0.992241013,0.04601676,Intron ,LOC105374777,uncharacterized LOC105374777,Open
chr2,47205025,47221357,16333,4.539055306,2.663412121,1.081877541,0.04601676,Intron ,LOC105374588,uncharacterized LOC105374588,Open
chr1,25023503,25023586,84,5.416972,3.618594958,1.075645948,0.04601676,Promoter ,MIR4425,microRNA 4425,Open
chr1,175359182,175528369,169188,4.510724004,2.926348039,1.034361727,0.046020115,Intron ,TNR,tenascin R,Open
chr8,115939658,115986708,47051,5.056256228,3.277925286,1.071329573,0.046020115,Exon ,LOC107986903,uncharacterized LOC107986903,Open
chr11,63552770,63563379,10610,5.758560753,3.725517065,1.09607715,0.046020115,Intron ,PLAAT2,phospholipase A and acyltransferase 2,Open
chr1,204828711,205018371,189661,5.001585933,2.848053608,1.100792199,0.046020115,Intron ,NFASC,neurofascin,Open
chr20,46367360,46394482,27123,4.414875678,2.91816415,1.012459485,0.046020115,Intron ,ELMO2,engulfment and cell motility 2,Open
chr8,133072908,133076127,3220,4.844186725,3.256721662,1.037268742,0.046020115,Promoter ,SLA,Src like adaptor,Open
chr1,224114218,224131021,16804,4.515287453,2.975634785,1.022744485,0.046020115,Intron ,FBXO28,F-box protein 28,Open
chr16,66517789,66523917,6129,5.227196473,3.650435069,1.035636437,0.046020115,Promoter ,TK2,thymidine kinase 2,Open
chr1,193233026,193251168,18143,4.10733478,2.792060896,0.952724384,0.046020115,Intron ,CDC73,cell division cycle 73,Open
